user_id,appointment_id,center_id,service_type,day_of_week,hour,previous_no_show_count,notification_sent,no_show
20965,122,Center_3,توثيق,Tue,11,0,1,0
34538,123,Center_3,إصدار,Sun,10,0,0,0
80592,124,Center_1,تجديد,Sat,9,2,0,0
18110,125,Center_4,إصدار,Sat,13,3,1,0
89309,126,Center_1,إصدار,Sun,14,2,0,0
37266,127,Center_4,تجديد,Sat,9,0,1,1
62992,128,Center_4,إصدار,Sun,19,1,1,1
92948,129,Center_4,إصدار,Mon,9,0,0,0
16910,130,Center_3,بدل تالف,Mon,20,1,1,0
10206,131,Center_3,توثيق,Tue,10,2,0,0
97054,132,Center_4,إصدار,Fri,11,2,0,0
97897,133,Center_4,بدل تالف,Fri,12,0,1,0
33419,134,Center_3,بدل تالف,Sun,11,0,1,0
60636,135,Center_4,توثيق,Mon,11,3,0,1
60015,136,Center_3,بدل تالف,Mon,21,3,0,1
64268,137,Center_4,بدل تالف,Sat,10,4,1,0
97939,138,Center_3,إصدار,Tue,14,1,1,0
28141,139,Center_1,توثيق,Tue,14,1,0,0
90356,140,Center_4,توثيق,Mon,18,0,1,1
81910,141,Center_4,إصدار,Mon,11,6,0,1
66044,142,Center_1,تجديد,Tue,21,1,1,0
77214,143,Center_2,بدل تالف,Thu,20,3,0,1
43827,144,Center_4,إصدار,Sat,8,1,0,0
65820,145,Center_2,بدل تالف,Wed,20,0,1,0
72623,146,Center_1,توثيق,Sat,21,0,0,0
91734,147,Center_4,توثيق,Wed,9,1,1,0
85450,148,Center_2,بدل تالف,Tue,11,0,1,0
32299,149,Center_4,توثيق,Tue,11,0,0,0
53585,150,Center_4,توثيق,Tue,15,2,0,0
74044,151,Center_3,تجديد,Sun,18,0,1,1
52557,152,Center_2,توثيق,Sun,9,1,1,0
59080,153,Center_3,توثيق,Sun,8,0,1,0
12693,154,Center_3,بدل تالف,Tue,16,0,0,0
79163,155,Center_2,إصدار,Mon,13,1,1,1
35939,156,Center_2,توثيق,Tue,18,2,1,0
58925,157,Center_3,توثيق,Wed,8,2,1,0
52941,158,Center_4,إصدار,Sat,13,3,0,1
31834,159,Center_4,إصدار,Thu,19,1,1,0
28047,160,Center_1,إصدار,Wed,16,2,1,0
36105,161,Center_4,بدل تالف,Fri,16,0,0,0
85766,162,Center_2,توثيق,Sat,12,1,0,0
25707,163,Center_2,توثيق,Fri,21,2,0,1
31976,164,Center_1,إصدار,Wed,8,5,1,0
54262,165,Center_2,تجديد,Sat,12,1,1,0
33776,166,Center_3,بدل تالف,Thu,17,2,0,1
40080,167,Center_1,إصدار,Mon,12,0,1,0
76842,168,Center_1,إصدار,Sat,9,1,1,0
71373,169,Center_4,توثيق,Tue,10,1,0,0
16776,170,Center_4,تجديد,Wed,11,1,1,0
65016,171,Center_3,بدل تالف,Sun,10,0,1,0
19474,172,Center_3,تجديد,Fri,10,1,0,0
68053,173,Center_4,تجديد,Mon,10,4,0,0
31959,174,Center_4,توثيق,Thu,9,1,1,0
15530,175,Center_3,إصدار,Wed,13,1,0,0
13748,176,Center_4,إصدار,Mon,16,1,1,0
23545,177,Center_1,تجديد,Sun,20,3,1,1
76199,178,Center_3,بدل تالف,Sun,18,2,1,0
44766,179,Center_4,بدل تالف,Sun,18,1,1,1
83530,180,Center_2,توثيق,Sun,8,0,1,0
71087,181,Center_2,بدل تالف,Sun,18,0,0,0
78840,182,Center_3,توثيق,Tue,9,0,1,0
64384,183,Center_2,تجديد,Sat,17,1,1,1
61005,184,Center_2,بدل تالف,Fri,13,1,1,1
56576,185,Center_1,إصدار,Sun,8,0,0,0
49353,186,Center_3,تجديد,Wed,17,1,1,0
72003,187,Center_2,توثيق,Wed,21,2,1,1
93211,188,Center_4,تجديد,Sun,14,1,1,0
62733,189,Center_3,تجديد,Mon,10,2,1,0
75318,190,Center_3,توثيق,Sun,13,1,0,0
99474,191,Center_2,بدل تالف,Thu,10,1,0,0
33664,192,Center_2,بدل تالف,Fri,19,1,1,1
77172,193,Center_1,إصدار,Tue,13,0,1,1
95616,194,Center_4,بدل تالف,Thu,11,0,1,0
36736,195,Center_1,توثيق,Sat,16,1,1,0
10854,196,Center_1,توثيق,Wed,10,2,0,0
48623,197,Center_4,توثيق,Fri,18,3,1,1
17392,198,Center_2,بدل تالف,Fri,12,1,1,1
65680,199,Center_1,توثيق,Sun,13,1,1,0
56717,200,Center_3,بدل تالف,Sat,17,1,1,0
97092,201,Center_1,توثيق,Sat,8,3,1,1
60859,202,Center_4,توثيق,Sun,14,4,1,0
36309,203,Center_1,بدل تالف,Fri,16,2,1,0
97455,204,Center_1,إصدار,Sat,13,1,1,1
73734,205,Center_3,إصدار,Wed,17,3,1,0
80467,206,Center_4,إصدار,Sun,20,0,1,0
62662,207,Center_3,بدل تالف,Mon,11,1,0,0
22688,208,Center_2,توثيق,Sun,20,1,1,0
35342,209,Center_4,بدل تالف,Wed,14,0,0,0
47157,210,Center_1,تجديد,Sun,19,2,1,0
77863,211,Center_3,تجديد,Sun,11,1,1,0
62083,212,Center_3,بدل تالف,Fri,20,0,1,0
75733,213,Center_4,تجديد,Sun,16,1,1,0
99045,214,Center_3,إصدار,Tue,15,6,0,0
44698,215,Center_4,إصدار,Tue,18,2,1,0
90623,216,Center_2,إصدار,Wed,8,2,1,0
32671,217,Center_4,تجديد,Sat,10,3,1,0
35184,218,Center_4,إصدار,Fri,8,0,1,0
52107,219,Center_2,إصدار,Sun,20,2,1,0
96202,220,Center_2,إصدار,Fri,20,3,1,1
61663,221,Center_1,بدل تالف,Sun,20,3,1,1
25708,222,Center_3,توثيق,Fri,21,2,1,0
59811,223,Center_2,توثيق,Thu,18,0,1,0
12811,224,Center_2,بدل تالف,Tue,8,1,1,0
66250,225,Center_3,إصدار,Mon,14,0,0,0
82082,226,Center_3,إصدار,Thu,19,1,1,0
44754,227,Center_1,بدل تالف,Tue,14,2,1,1
21411,228,Center_1,بدل تالف,Sat,21,1,0,0
12911,229,Center_4,تجديد,Thu,16,1,1,1
77270,230,Center_1,بدل تالف,Sun,8,0,0,0
93763,231,Center_2,إصدار,Sun,9,2,1,0
18680,232,Center_2,بدل تالف,Fri,16,0,1,0
94896,233,Center_3,إصدار,Wed,21,0,1,0
93879,234,Center_1,تجديد,Mon,19,1,0,0
81295,235,Center_4,بدل تالف,Wed,16,1,1,0
98614,236,Center_4,تجديد,Mon,17,0,0,1
21111,237,Center_4,إصدار,Thu,9,2,1,0
47504,238,Center_4,إصدار,Thu,11,0,1,0
11802,239,Center_3,إصدار,Mon,14,0,0,0
18155,240,Center_1,إصدار,Thu,21,1,0,0
83656,241,Center_1,تجديد,Mon,8,0,1,1
49384,242,Center_1,بدل تالف,Mon,20,0,0,1
57254,243,Center_1,بدل تالف,Wed,20,0,0,1
31918,244,Center_4,إصدار,Sun,9,1,1,0
95981,245,Center_4,إصدار,Sun,19,0,1,0
70713,246,Center_3,تجديد,Thu,12,2,1,1
40306,247,Center_3,تجديد,Fri,17,0,1,0
26646,248,Center_4,إصدار,Wed,9,1,1,1
56843,249,Center_2,إصدار,Thu,13,2,1,1
26371,250,Center_1,بدل تالف,Tue,8,1,0,1
87371,251,Center_3,بدل تالف,Fri,13,3,1,0
12049,252,Center_4,بدل تالف,Thu,19,0,1,0
41616,253,Center_1,إصدار,Sat,12,1,0,1
30932,254,Center_1,توثيق,Mon,16,0,1,0
39855,255,Center_4,تجديد,Fri,15,1,1,0
71434,256,Center_2,تجديد,Fri,18,3,0,0
82694,257,Center_2,تجديد,Fri,15,1,1,1
53016,258,Center_3,إصدار,Wed,19,1,1,0
17400,259,Center_4,إصدار,Mon,17,1,1,0
52642,260,Center_3,تجديد,Mon,16,2,1,0
25151,261,Center_2,تجديد,Mon,12,3,0,0
61407,262,Center_3,تجديد,Wed,17,1,1,1
76690,263,Center_3,إصدار,Sun,17,1,1,0
14499,264,Center_2,توثيق,Tue,14,1,1,0
16295,265,Center_1,توثيق,Tue,20,2,0,1
69040,266,Center_1,توثيق,Thu,10,2,1,0
22183,267,Center_2,بدل تالف,Wed,13,1,1,0
39299,268,Center_1,بدل تالف,Sat,19,3,1,1
22874,269,Center_4,إصدار,Tue,15,1,1,0
42711,270,Center_1,توثيق,Tue,11,0,1,0
15539,271,Center_2,توثيق,Mon,17,0,1,0
63351,272,Center_4,بدل تالف,Wed,8,0,1,1
71267,273,Center_3,توثيق,Thu,10,1,1,0
58354,274,Center_2,تجديد,Thu,18,0,1,1
12557,275,Center_2,بدل تالف,Sun,14,0,1,0
48360,276,Center_1,تجديد,Wed,17,0,0,0
92018,277,Center_4,توثيق,Wed,13,2,0,1
12200,278,Center_2,إصدار,Tue,8,0,1,0
78497,279,Center_4,توثيق,Fri,21,1,1,0
56975,280,Center_4,إصدار,Fri,13,2,0,1
31357,281,Center_1,تجديد,Fri,20,1,1,1
87505,282,Center_2,تجديد,Mon,13,0,1,0
12869,283,Center_4,توثيق,Fri,20,2,1,0
71135,284,Center_4,بدل تالف,Wed,9,5,0,1
60108,285,Center_3,تجديد,Sun,13,1,0,0
48467,286,Center_1,إصدار,Mon,16,1,1,0
33328,287,Center_2,إصدار,Mon,15,1,1,0
96831,288,Center_4,بدل تالف,Sun,18,2,1,0
13987,289,Center_1,توثيق,Sun,10,4,1,0
68871,290,Center_2,تجديد,Thu,10,2,1,0
32399,291,Center_4,توثيق,Sun,19,4,0,1
56214,292,Center_2,تجديد,Wed,18,1,1,0
96416,293,Center_2,توثيق,Thu,12,2,0,1
80271,294,Center_1,بدل تالف,Mon,14,1,1,0
54064,295,Center_1,إصدار,Thu,8,2,1,0
80091,296,Center_3,توثيق,Mon,10,0,1,0
50818,297,Center_3,توثيق,Sat,13,4,0,1
55525,298,Center_3,تجديد,Fri,9,2,1,0
29830,299,Center_4,توثيق,Sat,21,0,0,1
27429,300,Center_3,توثيق,Fri,9,2,1,0
16893,301,Center_2,بدل تالف,Sat,12,0,0,0
89909,302,Center_1,توثيق,Thu,18,1,0,0
57333,303,Center_2,بدل تالف,Wed,20,1,1,0
13436,304,Center_1,بدل تالف,Thu,12,1,1,0
84290,305,Center_1,بدل تالف,Wed,20,0,0,1
86213,306,Center_2,تجديد,Sun,19,1,1,1
15895,307,Center_2,بدل تالف,Wed,10,0,1,0
29738,308,Center_4,تجديد,Mon,17,0,1,0
40746,309,Center_1,إصدار,Mon,21,2,0,1
59377,310,Center_3,بدل تالف,Fri,11,0,1,0
58404,311,Center_4,توثيق,Thu,12,3,0,0
64045,312,Center_3,بدل تالف,Fri,17,1,1,0
49790,313,Center_4,إصدار,Tue,13,2,1,0
15600,314,Center_1,بدل تالف,Tue,12,0,1,1
50764,315,Center_2,تجديد,Fri,19,2,0,1
84543,316,Center_2,إصدار,Wed,16,3,1,0
55714,317,Center_1,إصدار,Fri,20,0,0,0
66835,318,Center_2,تجديد,Thu,20,0,1,0
83744,319,Center_1,تجديد,Thu,13,1,0,0
66491,320,Center_1,توثيق,Tue,17,1,1,0
28589,321,Center_1,إصدار,Wed,9,1,1,0
53484,322,Center_4,بدل تالف,Sun,12,2,1,0
92989,323,Center_2,تجديد,Sun,18,0,1,0
46212,324,Center_4,توثيق,Tue,17,1,1,0
53525,325,Center_3,تجديد,Wed,16,0,0,1
57202,326,Center_1,تجديد,Tue,8,0,1,0
42635,327,Center_2,توثيق,Mon,20,1,1,0
73208,328,Center_3,إصدار,Wed,17,3,0,1
43828,329,Center_1,بدل تالف,Sat,8,2,1,0
28711,330,Center_3,تجديد,Mon,11,1,0,0
13420,331,Center_4,إصدار,Wed,14,3,1,0
10301,332,Center_4,توثيق,Tue,21,0,0,1
55236,333,Center_2,توثيق,Thu,21,0,0,0
76235,334,Center_3,توثيق,Tue,16,0,1,0
64240,335,Center_3,إصدار,Tue,9,2,1,0
75726,336,Center_4,بدل تالف,Wed,20,0,1,0
20492,337,Center_4,إصدار,Tue,16,0,0,1
16102,338,Center_2,إصدار,Fri,20,0,0,1
60336,339,Center_1,توثيق,Fri,11,3,1,0
95314,340,Center_2,تجديد,Wed,21,3,1,0
36641,341,Center_4,تجديد,Fri,8,0,0,0
44584,342,Center_2,توثيق,Wed,14,1,0,0
42745,343,Center_1,تجديد,Tue,12,0,1,0
33093,344,Center_4,توثيق,Sun,8,0,1,0
76105,345,Center_1,إصدار,Sun,21,2,0,0
61885,346,Center_2,توثيق,Fri,8,2,1,0
46631,347,Center_1,بدل تالف,Mon,17,3,1,0
82991,348,Center_4,بدل تالف,Wed,21,2,0,0
14014,349,Center_4,بدل تالف,Tue,9,1,1,0
21093,350,Center_1,إصدار,Thu,14,2,0,0
28070,351,Center_2,تجديد,Fri,14,2,1,0
45777,352,Center_2,إصدار,Tue,10,2,1,0
66958,353,Center_2,تجديد,Tue,9,1,1,0
92074,354,Center_2,إصدار,Sun,17,1,0,0
20729,355,Center_3,إصدار,Sat,18,0,1,0
55017,356,Center_3,بدل تالف,Thu,15,2,1,0
76320,357,Center_1,إصدار,Wed,14,1,1,0
37751,358,Center_3,بدل تالف,Mon,18,3,0,1
88069,359,Center_3,إصدار,Mon,16,0,1,1
64748,360,Center_3,توثيق,Fri,16,2,1,0
15801,361,Center_1,بدل تالف,Mon,8,1,1,0
29190,362,Center_3,توثيق,Wed,9,2,1,0
59689,363,Center_2,إصدار,Wed,14,0,1,0
60993,364,Center_2,إصدار,Mon,15,0,1,0
39592,365,Center_1,توثيق,Mon,20,2,0,1
20647,366,Center_1,تجديد,Tue,13,1,0,0
18716,367,Center_1,تجديد,Thu,12,2,1,1
98891,368,Center_4,تجديد,Sat,13,0,1,1
97545,369,Center_3,إصدار,Sun,9,0,0,0
99912,370,Center_1,تجديد,Wed,19,0,1,0
80316,371,Center_1,تجديد,Sat,16,1,1,0
12368,372,Center_1,إصدار,Mon,17,2,1,0
87575,373,Center_2,إصدار,Fri,11,2,1,0
16655,374,Center_1,تجديد,Thu,16,3,1,1
80031,375,Center_2,تجديد,Mon,18,0,1,0
86429,376,Center_2,توثيق,Mon,15,0,1,0
97922,377,Center_4,إصدار,Mon,17,1,1,0
65766,378,Center_1,إصدار,Tue,11,3,0,0
23403,379,Center_4,توثيق,Wed,12,0,1,0
42097,380,Center_1,بدل تالف,Mon,17,2,0,0
88657,381,Center_3,بدل تالف,Mon,14,3,1,0
20966,382,Center_1,إصدار,Wed,12,2,1,0
62921,383,Center_1,إصدار,Sun,19,1,1,0
59726,384,Center_1,تجديد,Tue,9,1,0,1
60300,385,Center_1,بدل تالف,Tue,15,1,1,0
32677,386,Center_1,تجديد,Fri,17,0,1,0
65609,387,Center_1,بدل تالف,Fri,15,1,1,0
66661,388,Center_4,توثيق,Sat,15,0,1,0
41024,389,Center_3,تجديد,Tue,17,1,1,0
80313,390,Center_4,توثيق,Fri,15,0,0,1
63006,391,Center_3,توثيق,Fri,13,1,1,1
25338,392,Center_4,بدل تالف,Sat,17,0,0,0
78027,393,Center_4,إصدار,Sun,18,0,0,0
90135,394,Center_1,إصدار,Wed,9,2,1,0
29508,395,Center_4,توثيق,Mon,11,1,1,0
13051,396,Center_3,إصدار,Thu,19,0,0,1
58747,397,Center_2,تجديد,Sat,18,1,0,1
97142,398,Center_3,بدل تالف,Fri,9,3,0,1
97235,399,Center_4,تجديد,Fri,9,2,0,1
64021,400,Center_2,إصدار,Thu,16,0,1,0
76412,401,Center_1,توثيق,Thu,16,0,1,0
68335,402,Center_2,بدل تالف,Tue,12,0,1,1
66179,403,Center_1,توثيق,Fri,10,0,0,0
42093,404,Center_3,بدل تالف,Thu,16,1,1,0
79678,405,Center_2,تجديد,Mon,19,0,0,0
90738,406,Center_2,إصدار,Sun,14,2,1,0
49734,407,Center_2,تجديد,Wed,11,0,1,0
82615,408,Center_1,توثيق,Sat,19,2,0,0
83523,409,Center_1,تجديد,Tue,10,1,1,1
27019,410,Center_3,إصدار,Thu,15,2,1,0
93613,411,Center_3,إصدار,Thu,13,1,1,0
96672,412,Center_4,تجديد,Mon,11,2,1,1
83847,413,Center_1,بدل تالف,Mon,16,0,1,1
92750,414,Center_3,إصدار,Mon,8,0,1,0
89634,415,Center_2,إصدار,Wed,20,2,1,0
38251,416,Center_2,إصدار,Sat,12,0,1,0
35945,417,Center_2,إصدار,Wed,10,0,1,0
42217,418,Center_3,بدل تالف,Thu,20,0,1,0
18308,419,Center_2,بدل تالف,Tue,18,1,1,0
15949,420,Center_2,توثيق,Sat,9,2,1,0
61990,421,Center_1,توثيق,Sun,12,0,0,1
11150,422,Center_1,توثيق,Sun,10,1,1,0
99480,423,Center_3,تجديد,Thu,14,2,1,0
84740,424,Center_1,تجديد,Wed,8,0,1,0
76617,425,Center_4,توثيق,Wed,12,0,1,0
26896,426,Center_3,إصدار,Thu,20,1,1,0
56175,427,Center_4,توثيق,Wed,14,0,0,0
17805,428,Center_4,تجديد,Sun,13,1,0,1
15237,429,Center_3,بدل تالف,Sun,18,1,1,0
30056,430,Center_1,إصدار,Sat,9,0,1,0
55543,431,Center_1,إصدار,Thu,12,2,1,0
66556,432,Center_3,إصدار,Sat,10,1,1,0
13343,433,Center_4,تجديد,Wed,9,0,1,0
23500,434,Center_3,إصدار,Thu,15,0,1,0
63222,435,Center_3,إصدار,Mon,18,1,0,0
39375,436,Center_2,بدل تالف,Sat,9,0,1,0
19662,437,Center_2,إصدار,Sun,11,0,0,0
26964,438,Center_4,تجديد,Fri,15,1,0,1
69638,439,Center_1,إصدار,Tue,20,2,1,0
83666,440,Center_2,تجديد,Fri,19,2,1,0
95067,441,Center_2,بدل تالف,Mon,18,3,1,0
77215,442,Center_4,بدل تالف,Thu,19,0,1,1
79042,443,Center_3,إصدار,Sun,17,0,1,0
23284,444,Center_2,توثيق,Mon,16,1,1,0
82789,445,Center_1,بدل تالف,Tue,21,1,1,1
94664,446,Center_4,إصدار,Thu,19,1,1,1
71389,447,Center_2,بدل تالف,Wed,13,0,0,1
19435,448,Center_4,بدل تالف,Mon,18,1,1,0
64340,449,Center_2,تجديد,Tue,12,0,1,0
54078,450,Center_2,توثيق,Fri,11,0,1,0
88832,451,Center_4,تجديد,Tue,19,2,1,1
61293,452,Center_1,إصدار,Mon,8,0,1,0
88781,453,Center_1,إصدار,Fri,18,1,1,0
70403,454,Center_3,تجديد,Thu,19,4,1,1
39124,455,Center_2,توثيق,Mon,20,3,1,0
53919,456,Center_3,توثيق,Fri,17,3,1,0
45247,457,Center_4,توثيق,Mon,12,1,0,0
72752,458,Center_3,بدل تالف,Mon,11,0,1,0
66573,459,Center_4,إصدار,Wed,13,1,0,0
69101,460,Center_1,بدل تالف,Fri,13,1,1,0
36646,461,Center_4,تجديد,Sun,14,1,1,0
33049,462,Center_4,توثيق,Sat,11,1,1,0
89605,463,Center_3,بدل تالف,Wed,8,0,0,1
78385,464,Center_2,توثيق,Mon,10,1,1,0
50158,465,Center_3,بدل تالف,Tue,16,2,0,1
75417,466,Center_1,إصدار,Thu,12,2,1,0
33289,467,Center_1,توثيق,Wed,10,1,0,0
19823,468,Center_1,بدل تالف,Sat,15,4,1,1
70160,469,Center_2,تجديد,Thu,8,0,1,0
51975,470,Center_3,بدل تالف,Sat,11,1,1,1
19540,471,Center_4,تجديد,Fri,10,2,1,0
26364,472,Center_4,تجديد,Wed,9,1,0,1
14611,473,Center_2,توثيق,Tue,9,0,1,0
37663,474,Center_1,إصدار,Fri,12,0,1,1
61991,475,Center_2,تجديد,Tue,14,0,1,0
67679,476,Center_4,تجديد,Thu,16,1,1,1
40977,477,Center_1,إصدار,Tue,21,2,1,0
59115,478,Center_2,إصدار,Sun,12,1,1,0
98223,479,Center_4,إصدار,Tue,9,2,0,1
70890,480,Center_4,تجديد,Sat,19,0,1,0
76387,481,Center_2,إصدار,Thu,11,1,1,0
28071,482,Center_4,تجديد,Mon,11,1,1,0
69275,483,Center_3,تجديد,Mon,13,0,1,0
82369,484,Center_3,تجديد,Fri,19,1,1,0
21938,485,Center_1,إصدار,Sat,19,1,1,0
45195,486,Center_3,تجديد,Tue,9,1,1,1
14000,487,Center_3,توثيق,Mon,10,2,1,0
80588,488,Center_2,تجديد,Fri,13,2,1,0
48304,489,Center_1,إصدار,Thu,11,3,1,1
79449,490,Center_2,إصدار,Sat,13,0,1,1
92986,491,Center_2,تجديد,Tue,13,1,0,0
99643,492,Center_3,تجديد,Sun,21,2,1,0
30764,493,Center_3,تجديد,Fri,10,0,0,0
96027,494,Center_4,توثيق,Mon,14,6,1,0
48494,495,Center_4,إصدار,Thu,11,0,1,0
13373,496,Center_1,توثيق,Tue,14,0,1,0
22161,497,Center_3,إصدار,Thu,20,2,1,0
37350,498,Center_4,بدل تالف,Tue,16,0,1,0
35351,499,Center_2,إصدار,Thu,10,1,0,1
98668,500,Center_3,تجديد,Mon,16,1,1,1
25305,501,Center_1,إصدار,Tue,9,2,1,0
85353,502,Center_1,إصدار,Thu,12,2,1,0
86797,503,Center_2,بدل تالف,Wed,19,2,0,0
75953,504,Center_4,بدل تالف,Wed,11,1,1,0
67458,505,Center_2,توثيق,Sun,17,1,1,0
30358,506,Center_4,توثيق,Sat,18,2,0,0
